iter	Passed	Remaining
400	20059	29964
401	20105	29907
402	20159	29864
403	20215	29822
404	20242	29739
405	20311	29716
406	20391	29710
407	20486	29724
408	20536	29675
409	20617	29668
410	20674	29628
411	20715	29565
412	20783	29539
413	20818	29467
414	20871	29420
415	20907	29351
416	20976	29326
417	21039	29294
418	21091	29245
419	21142	29197
420	21204	29162
421	21281	29148
422	21325	29089
423	21365	29024
424	21389	28938
425	21428	28873
426	21494	28843
427	21552	28804
428	21613	28767
429	21678	28735
430	21710	28662
431	21757	28606
432	21788	28531
433	21822	28459
434	21884	28425
435	21915	28348
436	21988	28328
437	22035	28273
438	22067	28200
439	22130	28165
440	22186	28123
441	22233	28069
442	22285	28020
443	22339	27974
444	22398	27935
445	22434	27866
446	22484	27816
447	22513	27739
448	22569	27696
449	22615	27641
450	22651	27573
451	22734	27562
452	22781	27509
453	22817	27440
454	22869	27393
455	22913	27335
456	22943	27261
457	22997	27215
458	23020	27133
459	23061	27072
460	23111	27021
461	23169	26980
462	23228	26941
463	23271	26883
464	23341	26854
465	23384	26797
466	23446	26760
467	23485	26697
468	23532	26643
469	23571	26580
470	23628	26538
471	23677	26486
472	23734	26444
473	23785	26395
474	23849	26360
475	23904	26314
476	23962	26273
477	24004	26214
478	24060	26169
479	24097	26105
480	24135	26042
481	24176	25982
482	24208	25912
483	24241	25844
484	24275	25776
485	24298	25698
486	24326	25625
487	24355	25553
488	24392	25489
489	24429	25427
490	24477	25375
491	24512	25309
492	24555	25253
493	24604	25201
494	24643	25141
495	24665	25063
496	24681	24979
497	24698	24897
498	24732	24831
499	24772	24772
500	24811	24712
501	24856	24658
502	24890	24593
503	24916	24521
504	24946	24452
505	24983	24391
506	25015	24324
507	25062	24273
508	25113	24225
509	25142	24156
510	25198	24113
511	25235	24052
512	25282	24001
513	25320	23941
514	25373	23895
515	25415	23839
516	25462	23788
517	25529	23755
518	25568	23696
519	25642	23670
520	25698	23626
521	25736	23566
522	25776	23509
523	25813	23448
524	25852	23389
525	25926	23363
526	25992	23329
527	26042	23280
528	26117	23254
529	26167	23205
530	26244	23180
531	26300	23136
532	26354	23091
533	26384	23024
534	26427	22969
535	26480	22923
536	26518	22864
537	26562	22810
538	26647	22791
539	26717	22759
540	26747	22693
541	26815	22659
542	26861	22607
543	26909	22556
544	27006	22546
545	27062	22502
546	27102	22445
547	27136	22382
548	27176	22325
549	27229	22279
550	27265	22218
551	27331	22181
552	27386	22137
553	27415	22070
554	27473	22028
555	27512	21970
556	27545	21907
557	27584	21850
558	27612	21783
559	27647	21723
560	27674	21656
561	27719	21603
562	27756	21544
563	27775	21471
564	27837	21432
565	27890	21385
566	27929	21328
567	27976	21277
568	28017	21222
569	28085	21187
570	28143	21144
571	28223	21118
572	28251	21053
573	28284	20991
574	28315	20928
575	28383	20893
576	28433	20844
577	28509	20814
578	28536	20749
579	28588	20702
580	28662	20670
581	28697	20611
582	28764	20574
583	28803	20517
584	28860	20473
585	28893	20412
586	28916	20345
587	28968	20297
588	28995	20233
589	29015	20163
590	29040	20097
591	29093	20051
592	29163	20016
593	29209	19964
594	29249	19909
595	29301	19862
596	29365	19822
597	29413	19773
598	29471	19729
599	29491	19661
600	29532	19606
601	29595	19566
602	29669	19533
603	29704	19474
604	29751	19424
605	29810	19381
606	29835	19316
607	29867	19256
608	29908	19202
609	29946	19145
610	29974	19083
611	30010	19026
612	30049	18970
613	30089	18916
614	30149	18874
615	30202	18827
616	30223	18761
617	30254	18700
618	30280	18638
619	30334	18592
620	30418	18564
621	30464	18513
622	30496	18454
623	30549	18407
624	30598	18359
625	30631	18300
626	30657	18237
627	30678	18172
628	30714	18116
629	30751	18060
630	30776	17997
631	30817	17944
632	30850	17886
633	30892	17833
634	30939	17784
635	30982	17732
636	31034	17685
637	31066	17626
638	31143	17594
639	31172	17534
640	31215	17482
641	31258	17430
642	31312	17385
643	31376	17344
644	31447	17308
645	31462	17240
646	31492	17181
647	31547	17136
648	31600	17090
649	31635	17034
650	31662	16973
651	31720	16930
652	31765	16879
653	31808	16828
654	31846	16774
655	31917	16737
656	31955	16682
657	31972	16618
658	32008	16562
659	32051	16511
660	32079	16452
661	32121	16400
662	32142	16337
663	32187	16287
664	32223	16232
665	32259	16177
666	32306	16129
667	32323	16064
668	32350	16006
669	32396	15956
670	32427	15899
671	32492	15859
672	32522	15801
673	32572	15754
674	32611	15701
675	32640	15644
676	32700	15601
677	32724	15541
678	32748	15482
679	32792	15431
680	32862	15393
681	32879	15330
682	32962	15298
683	33013	15251
684	33061	15203
685	33139	15168
686	33197	15124
687	33255	15081
688	33336	15047
689	33394	15003
690	33481	14972
691	33531	14924
692	33582	14876
693	33624	14825
694	33660	14772
695	33709	14723
696	33729	14663
697	33774	14613
698	33804	14556
699	33870	14515
700	33915	14466
701	33959	14416
702	34002	14365
703	34046	14315
704	34089	14264
705	34139	14216
706	34175	14163
707	34219	14113
708	34272	14066
709	34304	14011
710	34381	13974
711	34431	13927
712	34509	13890
713	34553	13840
714	34608	13794
715	34664	13749
716	34696	13694
717	34733	13641
718	34779	13592
719	34834	13546
720	34885	13499
721	34939	13453
722	35056	13431
723	35112	13385
724	35155	13334
725	35205	13286
726	35271	13245
727	35343	13205
728	35404	13161
729	35433	13105
730	35483	13057
731	35531	13008
732	35586	12962
733	35633	12913
734	35682	12865
735	35718	12811
736	35760	12761
737	35802	12710
738	35863	12666
739	35921	12621
740	35977	12575
741	36018	12524
742	36089	12483
743	36150	12438
744	36234	12402
745	36289	12355
746	36334	12306
747	36398	12262
748	36444	12213
749	36485	12161
750	36526	12110
751	36571	12060
752	36617	12011
753	36659	11960
754	36693	11907
755	36736	11856
756	36786	11808
757	36824	11756
758	36864	11705
759	36941	11665
760	36975	11612
761	37020	11562
762	37084	11519
763	37155	11477
764	37217	11432
765	37287	11390
766	37351	11346
767	37399	11297
768	37456	11251
769	37534	11211
770	37594	11166
771	37652	11120
772	37708	11073
773	37783	11032
774	37837	10984
775	37902	10940
776	37955	10893
777	37999	10843
778	38098	10808
779	38153	10761
780	38195	10710
781	38232	10658
782	38310	10617
783	38329	10560
784	38355	10505
785	38398	10454
786	38422	10398
787	38469	10349
788	38516	10300
789	38536	10244
790	38580	10193
791	38609	10139
792	38644	10087
793	38671	10033
794	38704	9980
795	38748	9930
796	38787	9879
797	38819	9826
798	38852	9773
799	38903	9725
800	38939	9674
801	38989	9625
802	39031	9575
803	39089	9529
804	39131	9479
805	39174	9429
806	39216	9378
807	39250	9326
808	39280	9273
809	39339	9227
810	39424	9187
811	39458	9135
812	39490	9083
813	39536	9034
814	39576	8983
815	39631	8936
816	39650	8881
817	39714	8836
818	39754	8785
819	39788	8734
820	39826	8683
821	39858	8631
822	39906	8582
823	39939	8530
824	39982	8481
825	40016	8429
826	40036	8375
827	40057	8321
828	40115	8274
829	40138	8221
830	40167	8168
831	40198	8117
832	40233	8065
833	40287	8018
834	40349	7973
835	40384	7922
836	40417	7871
837	40464	7822
838	40488	7769
839	40527	7719
840	40554	7667
841	40591	7617
842	40632	7567
843	40703	7523
844	40761	7477
845	40823	7431
846	40855	7380
847	40895	7330
848	40932	7280
849	40975	7230
850	41007	7179
851	41057	7131
852	41110	7084
853	41177	7039
854	41213	6989
855	41250	6939
